cluster,n,model_mm,physics_mm,improvement_%
0,338,0.02969902761712536,0.11317412272993954,73.75811104098918
1,374,0.03131610242354958,0.12872329836915736,75.6717681878069
2,271,0.031004168029328573,0.12344493711998393,74.88421254636496
3,38,0.03716282732788036,0.1398074458388347,73.41856357870925
4,201,0.029505696421036457,0.12051977466717564,75.51796250655244
5,228,0.02758853072667699,0.11692034110301308,76.40399397879791
6,50,0.03243657918413634,0.16919924171372758,80.82935901153942
