epoch,train_loss,val_loss,val_median_mm,val_win_rate,baseline_median_mm,stopped_median_mm
1,0.8297990042652809,0.6472554206848145,0.7923586368560791,0.7758103658819346,1.4543321132659912,3.5664801597595215
2,0.7569991588886018,0.6356288194656372,0.7839823961257935,0.7714204009707387,1.4543321132659912,3.5664801597595215
3,0.7504225738111756,0.6366007328033447,0.782728910446167,0.7751302304731579,1.4543321132659912,3.5664801597595215
4,0.7469262269248872,0.631436824798584,0.7787949442863464,0.7740250104338955,1.4543321132659912,3.5664801597595215
5,0.7445617700867037,0.6287919282913208,0.7690771222114563,0.77554758629218,1.4543321132659912,3.5664801597595215
6,0.742879376305279,0.6278544664382935,0.7748003602027893,0.7733680614595088,1.4543321132659912,3.5664801597595215
7,0.741338371719107,0.627250075340271,0.7678461074829102,0.7779512466572891,1.4543321132659912,3.5664801597595215
8,0.7399264248689383,0.6276558637619019,0.7707090377807617,0.775338908382669,1.4543321132659912,3.5664801597595215
9,0.738825732215938,0.6265599727630615,0.7718260288238525,0.77490609494072,1.4543321132659912,3.5664801597595215
10,0.7378298920968708,0.6264398694038391,0.7662240862846375,0.7755166710463265,1.4543321132659912,3.5664801597595215
11,0.7368418788544598,0.624771773815155,0.7658686637878418,0.7771474502650982,1.4543321132659912,3.5664801597595215
12,0.7360937706397132,0.6244083642959595,0.7680149674415588,0.7777193823133879,1.4543321132659912,3.5664801597595215
13,0.7351856800027766,0.6264674663543701,0.7733789086341858,0.7730125361321936,1.4543321132659912,3.5664801597595215
14,0.734686124624057,0.6241465210914612,0.7641626000404358,0.777433416289243,1.4543321132659912,3.5664801597595215
15,0.7339074305963958,0.6256218552589417,0.7656902074813843,0.7798911783345958,1.4543321132659912,3.5664801597595215
16,0.7333720432017575,0.6231837868690491,0.7670746445655823,0.7772788400599756,1.4543321132659912,3.5664801597595215
17,0.7327190824494031,0.6241946220397949,0.7665596604347229,0.7777812128050948,1.4543321132659912,3.5664801597595215
18,0.7322594835561881,0.623994767665863,0.7635254263877869,0.7754393829316928,1.4543321132659912,3.5664801597595215
19,0.731580129977801,0.6236185431480408,0.7649938464164734,0.7783376872304577,1.4543321132659912,3.5664801597595215
20,0.7313334359307749,0.6230419278144836,0.764744222164154,0.7780285347719228,1.4543321132659912,3.5664801597595215
21,0.730948732357851,0.622404932975769,0.7593501210212708,0.7764905012907115,1.4543321132659912,3.5664801597595215
22,0.7303891563918455,0.6230716705322266,0.7633107304573059,0.7791878564914287,1.4543321132659912,3.5664801597595215
23,0.7300348239844285,0.6248490214347839,0.7682961821556091,0.7738781630160914,1.4543321132659912,3.5664801597595215
24,0.7296383287910178,0.6224176287651062,0.7588558793067932,0.7788787040328938,1.4543321132659912,3.5664801597595215
25,0.7294038373892583,0.6236677169799805,0.7642366886138916,0.7764518572333946,1.4543321132659912,3.5664801597595215
26,0.728954781313921,0.6250315308570862,0.7749369144439697,0.774821078014623,1.4543321132659912,3.5664801597595215
27,0.7286281230390116,0.6226323246955872,0.7600784301757812,0.777618907764364,1.4543321132659912,3.5664801597595215
