epoch,train_loss,val_loss,val_median_mm,val_win_rate,baseline_median_mm,stopped_median_mm
1,0.0022111190848603545,0.0011048491578549147,0.013091947883367538,0.8402141600436813,0.03406033664941788,0.12838983535766602
2,0.0011839100342429531,0.0010946628171950579,0.013111934065818787,0.8364602924224959,0.03406033664941788,0.12838983535766602
3,0.0011295347057333081,0.0010757449781522155,0.01297418400645256,0.8366650488381969,0.03406033664941788,0.12838983535766602
4,0.001096051811824763,0.0010786568745970726,0.012899150140583515,0.8402672450403446,0.03406033664941788,0.12838983535766602
5,0.0010843957448626752,0.0010741675505414605,0.012756835669279099,0.8426333191773342,0.03406033664941788,0.12838983535766602
6,0.0010683750238052033,0.0010207686573266983,0.01238811295479536,0.845408906145726,0.03406033664941788,0.12838983535766602
7,0.001054736572894759,0.0010504494421184063,0.013327605091035366,0.8243720803251835,0.03406033664941788,0.12838983535766602
8,0.0010468610535056331,0.0010476558236405253,0.012869303114712238,0.8435281805496572,0.03406033664941788,0.12838983535766602
9,0.0010428725660462472,0.0024161385372281075,0.018457455560564995,0.7154795850269975,0.03406033664941788,0.12838983535766602
10,0.0010481320488560362,0.0010483372025191784,0.012972493655979633,0.8341245525693138,0.03406033664941788,0.12838983535766602
11,0.0010323294092012996,0.0010381066240370274,0.01265353336930275,0.8460686768185404,0.03406033664941788,0.12838983535766602
12,0.0010256730463989317,0.0010520401410758495,0.012563306838274002,0.8471531274646605,0.03406033664941788,0.12838983535766602
